iter	Passed	Remaining
0	134	134408
1	135	67818
2	136	45504
3	137	34326
4	138	27612
5	139	23123
6	141	20050
7	142	17692
8	143	15852
9	145	14367
10	146	13148
11	147	12126
12	148	11268
13	149	10531
14	150	9890
15	164	10104
16	165	9575
17	166	9101
18	167	8670
19	168	8277
20	169	7920
21	170	7599
22	171	7306
23	173	7037
24	174	6797
25	175	6573
26	176	6370
27	177	6178
28	179	5997
29	180	5837
30	181	5682
31	182	5533
32	184	5392
33	185	5258
34	186	5132
35	187	5013
36	188	4899
37	189	4795
38	190	4699
39	191	4606
40	193	4536
41	195	4456
42	196	4378
43	197	4299
44	199	4225
45	200	4152
46	201	4080
47	202	4017
48	203	3958
49	205	3906
50	208	3888
51	210	3833
52	211	3780
53	212	3728
54	213	3676
55	215	3625
56	216	3574
57	217	3525
58	218	3483
59	219	3442
60	221	3404
61	222	3366
62	223	3326
63	224	3287
64	225	3250
65	227	3215
66	228	3179
67	229	3144
68	230	3108
69	231	3073
70	232	3041
71	233	3010
72	234	2981
73	238	2980
74	239	2952
75	240	2925
76	241	2898
77	242	2871
78	243	2844
79	245	2819
80	246	2795
81	247	2771
82	248	2745
83	249	2723
84	251	2703
85	252	2680
86	253	2660
87	254	2641
88	256	2625
89	257	2606
90	259	2587
91	260	2569
92	261	2552
93	268	2586
94	270	2572
95	271	2561
96	273	2541
97	274	2523
98	275	2506
99	276	2489
100	278	2475
101	279	2463
102	281	2448
103	282	2433
104	283	2417
105	284	2403
106	286	2386
107	287	2370
108	288	2354
109	289	2340
110	290	2324
111	291	2309
112	292	2295
113	293	2282
114	294	2269
115	296	2256
116	297	2241
117	298	2228
118	299	2215
119	300	2201
120	301	2189
121	302	2175
122	303	2162
123	304	2149
124	305	2137
125	306	2127
126	307	2117
127	309	2109
128	311	2100
129	312	2089
130	313	2079
131	314	2068
132	315	2056
133	316	2046
134	317	2036
135	318	2025
136	319	2015
137	321	2005
138	322	1996
139	323	1986
140	324	1976
141	325	1964
142	326	1954
143	327	1945
144	328	1935
145	329	1928
146	330	1918
147	331	1909
148	332	1901
149	333	1892
150	335	1884
151	336	1877
152	337	1870
153	339	1863
154	340	1855
155	341	1847
156	342	1839
157	343	1831
158	344	1823
159	345	1816
160	347	1810
161	348	1804
162	350	1800
163	355	1809
164	356	1803
165	357	1796
166	358	1789
167	360	1783
168	361	1776
169	362	1770
170	364	1764
171	365	1760
172	367	1755
173	368	1749
174	369	1743
175	371	1737
176	372	1732
177	373	1725
178	374	1719
179	376	1714
180	377	1709
181	379	1706
182	382	1708
183	384	1703
184	385	1696
185	386	1690
186	387	1683
187	388	1677
188	389	1670
189	390	1664
